,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
04:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
04:30,Buffer,Freespace,Buffer,Freespace,Buffer,Freespace,Freespace
05:00,Gym,Freespace,Gym,Freespace,Gym,Freespace,Freespace
05:30,Gym,Freespace,Gym,Freespace,Gym,Freespace,Freespace
06:00,Gym,Freespace,Gym,Freespace,Gym,Freespace,Freespace
06:30,Gym,Freespace,Gym,Freespace,Gym,Freespace,Freespace
07:00,Freespace,Freespace,U y lectura,Freespace,Freespace,Freespace,Freespace
07:30,Freespace,Freespace,U y lectura,Freespace,Freespace,Freespace,Freespace
08:00,Freespace,Freespace,U y lectura,Freespace,Freespace,Freespace,Freespace
08:30,Freespace,Freespace,U y lectura,Freespace,Freespace,Freespace,Freespace
09:00,Freespace,Freespace,MET 2,Freespace,Freespace,Freespace,Freespace
09:30,Freespace,Freespace,MET 2,Freespace,Freespace,Freespace,Freespace
10:00,Freespace,U y lectura,MET 2,U y lectura,Freespace,Freespace,Freespace
10:30,Freespace,U y lectura,MET 2,U y lectura,Freespace,Freespace,Freespace
11:00,Freespace,U y lectura + Estadística,MET 2,U y lectura + Estadística,Freespace,Freespace,Freespace
11:30,Freespace,U y lectura + Estadística,MET 2,U y lectura + Estadística,Freespace,Freespace,Freespace
12:00,Freespace,Estadística + Almuerzo,Almuerzo,Estadística + Almuerzo,Almuerzo,Freespace,Freespace
12:30,Freespace,Estadística + Almuerzo,Almuerzo,Estadística + Almuerzo,Almuerzo,Freespace,Freespace
13:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
13:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
14:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
14:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
15:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
15:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
16:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
16:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
17:00,Freespace,Freespace,Freespace,Freespace,U y lectura,Freespace,Freespace
17:30,Freespace,Freespace,Freespace,Freespace,U y lectura,Freespace,Freespace
18:00,Freespace,Freespace,Desarrollo,Freespace,Desarrollo,Unlabeled,Freespace
18:30,Freespace,Freespace,Desarrollo,Freespace,Desarrollo,Unlabeled,Freespace
19:00,Casa y lectura,Freespace,Desarrollo,Freespace,Desarrollo,Unlabeled,Freespace
19:30,Casa y lectura,Freespace,Desarrollo,Freespace,Desarrollo,Unlabeled,Freespace
20:00,Casa y lectura,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
20:30,Casa y lectura,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
21:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
21:30,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
22:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
22:30,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
