,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
04:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
04:30,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
05:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
05:30,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
06:00,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer
06:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
07:00,Macroeconometría,Topicos de Econometría I,Freespace,Freespace,Freespace,Freespace,Freespace
07:30,Macroeconometría,Topicos de Econometría I,Freespace,Freespace,Freespace,Freespace,Freespace
08:00,Macroeconometría + TP,Topicos de Econometría I + TP,TP,Freespace,Freespace,TP,TP
08:30,Macroeconometría + TP,Topicos de Econometría I + TP,TP,Freespace,Freespace,TP,TP
09:00,TP,TP,TP,Economía del Conocimiento,Freespace,TP,TP
09:30,TP,TP,TP,Economía del Conocimiento,Freespace,TP,TP
10:00,TP,TP,TP,Economía del Conocimiento,Freespace,TP,TP
10:30,TP,TP,TP,Economía del Conocimiento,Freespace,TP,TP
11:00,Habilidades Directivas + TP,TP,TP,Economía del Conocimiento,Freespace,TP,TP
11:30,Habilidades Directivas + TP,TP,TP,Economía del Conocimiento,Freespace,TP,TP
12:00,Habilidades Directivas + TP,TP,TP,Freespace,Freespace,TP,TP
12:30,Habilidades Directivas + TP,TP,TP,Freespace,Freespace,TP,TP
13:00,TP,TP,TP,Freespace,Freespace,TP,TP
13:30,TP,TP,TP,Freespace,Freespace,TP,TP
14:00,TP,TP,TP,Freespace,Freespace,TP,TP
14:30,TP,TP,TP,Freespace,Freespace,TP,TP
15:00,TP,TP,TP,Freespace,Freespace,TP,TP
15:30,TP,TP,TP,Freespace,Freespace,TP,TP
16:00,TP,TP,TP,Freespace,Freespace,TP,TP
16:30,TP,TP,TP,Freespace,Freespace,TP,TP
17:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
17:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
18:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
18:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
19:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
19:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
20:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
20:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
21:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
21:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
22:00,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
22:30,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace,Freespace
